movieId,tmdbId,id,title,overview,popularity,vote_average,vote_count,release_date,runtime,director,poster_path,genres,keywords,cast
1,862,862,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",73.640445,7.7,5269,1995-10-30,81.0,,,"[""Animation"", ""Comedy"", ""Family""]","[""jealousy"", ""toy"", ""boy"", ""friendship"", ""friends"", ""rivalry"", ""boy next door"", ""new toy"", ""toy comes to life""]",[]
10,710,710,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,59.824565,6.6,1174,1995-11-16,130.0,,,"[""Adventure"", ""Action"", ""Thriller""]","[""cuba"", ""falsely accused"", ""secret identity"", ""computer virus"", ""secret base"", ""secret intelligence service"", ""kgb"", ""satellite"", ""special car"", ""cossack"", ""electromagnetic pulse"", ""time bomb"", ""st. petersburg russia"", ""ejection seat"", ""red army""]",[]
47,807,807,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",79.579532,8.1,5765,1995-09-22,127.0,,,"[""Crime"", ""Mystery"", ""Thriller""]","[""self-fulfilling prophecy"", ""detective"", ""s.w.a.t."", ""drug dealer"", ""evisceration"", ""lust and impulsiveness"", ""rage and hate"", ""pride and vanity"", ""immoderateness"", ""insomnia"", ""investigation"", ""pension"", ""police"", ""serial killer""]",[]
48,10530,10530,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",47.845589,6.7,1457,1995-06-14,81.0,,,"[""Adventure"", ""Animation"", ""Drama"", ""Family""]","[""culture clash"", ""settler"", ""forbidden love"", ""colony"", ""musical"", ""gold rush"", ""princess"", ""romance"", ""native american"", ""animation"", ""virginia"", ""star crossed lovers"", ""reference to pizarro"", ""jamestown virginia"", ""pug dog"", ""cross cultural relationship"", ""musket"", ""animate tree"", ""indian chief"", ""based on folk tale"", ""17th century"", ""shamanism"", ""songs"", ""indians vs. settlers"", ""animal sidekick"", ""powhatan"", ""land claim""]",[]
50,629,629,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",64.025031,8.1,3254,1995-07-19,106.0,,,"[""Drama"", ""Crime"", ""Thriller""]","[""law"", ""relatives"", ""theft"", ""criminal"", ""criminal mastermind"", ""hungarian"", ""sibling""]",[]
70,755,755,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",64.181668,6.9,1603,1996-01-19,108.0,,,"[""Horror"", ""Action"", ""Thriller"", ""Crime""]","[""dancing"", ""brother brother relationship"", ""sexual obsession"", ""showdown"", ""sheriff"", ""eroticism"", ""nudity"", ""bank robber"", ""vampire"", ""holy water"", ""siege"", ""stripper"", ""priest"", ""explosion"", ""extreme violence"", ""bank robbery"", ""preacher"", ""hostage situation"", ""crucifix"", ""recreational vehicle"", ""blood spurting"", ""convenience store"", ""female vampire"", ""mexican american border"", ""nightclub entertainer"", ""boa constrictor""]",[]
110,197,197,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",60.722162,7.7,3336,1995-05-24,177.0,,,"[""Action"", ""Drama"", ""History"", ""War""]","[""individual"", ""scotland"", ""in love with enemy"", ""legend"", ""independence"", ""idealism"", ""revolt"", ""tyranny""]",[]
111,103,103,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",58.845025,8.0,2535,1976-02-07,114.0,,,"[""Crime"", ""Drama""]","[""vietnam veteran"", ""taxi"", ""obsession"", ""drug dealer"", ""night shift"", ""vigilante"", ""alienation"", ""misanthrope"", ""shot to death"", ""illegal prostitution"", ""loner""]",[]
150,568,568,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",68.140214,7.3,1599,1995-06-30,140.0,,,"[""Drama""]","[""moon"", ""florida"", ""nasa"", ""spaceman"", ""race against time"", ""houston"", ""based on true story"", ""space"", ""rescue"", ""survival"", ""disaster"", ""explosion"", ""astronaut"", ""imax"", ""saturn v rocket"", ""courage"", ""hypothermia"", ""apollo program"", ""cape kennedy"", ""lunar mission"", ""spacecraft accident""]",[]
153,414,414,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",48.205606,5.2,1498,1995-05-31,121.0,,,"[""Action"", ""Crime"", ""Fantasy""]","[""riddle"", ""dc comics"", ""rose"", ""gotham city"", ""partner"", ""superhero"", ""robin"", ""broken neck"", ""psychologist"", ""violence"", ""criminal"", ""district attorney"", ""millionaire"", ""falling down stairs"", ""tied up"", ""tommy gun"", ""beretta"", ""knocked out"", ""super powers"", ""disfigurement"", ""father figure""]",[]
165,1572,1572,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",51.881077,6.9,2066,1995-05-19,128.0,,,"[""Action"", ""Thriller""]","[""bomb"", ""taxi"", ""riddle"", ""robbery"", ""detective"", ""helicopter"", ""gold"", ""subway"", ""ship"", ""fistfight"", ""police"", ""sequel"", ""deception"", ""shootout"", ""new york city"", ""explosion"", ""violence"", ""car chase"", ""fbi agent"", ""simon says"", ""flashback"", ""dump truck"", ""aqueduct"", ""action hero"", ""federal reserve bank""]",[]
253,628,628,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",50.163785,7.2,1516,1994-11-11,123.0,,,"[""Horror"", ""Romance""]","[""paris"", ""san francisco"", ""vampire"", ""plantation"", ""pity"", ""bite"", ""fang vamp""]",[]
260,11,11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,126.393695,8.1,6624,1977-05-25,121.0,,,"[""Adventure"", ""Action"", ""Science Fiction""]","[""android"", ""galaxy"", ""hermit"", ""death star"", ""lightsaber"", ""jedi"", ""rescue mission"", ""empire"", ""rebellion"", ""planet"", ""smuggler"", ""the force"", ""space opera"", ""galactic war"", ""stormtrooper"", ""totalitarianism""]",[]
296,680,680,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",121.463076,8.3,8428,1994-10-08,154.0,,,"[""Thriller"", ""Crime""]","[""transporter"", ""brothel"", ""drug dealer"", ""boxer"", ""massage"", ""stolen money"", ""crime boss"", ""dance contest"", ""junkyard"", ""kamikaze"", ""ambiguous ending"", ""briefcase"", ""redemption"", ""heirloom"", ""pulp fiction"", ""reference to al green"", ""theft"", ""brutality""]",[]
318,278,278,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",136.747729,8.5,8205,1994-09-23,142.0,,,"[""Drama"", ""Crime""]","[""prison"", ""corruption"", ""police brutality"", ""prison cell"", ""delinquent"", ""parole board"", ""escape from prison"", ""wrongful imprisonment"", ""framed for murder"", ""1940s""]",[]
356,13,13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",138.133331,8.2,7927,1994-07-06,142.0,,,"[""Comedy"", ""Drama"", ""Romance""]","[""vietnam veteran"", ""hippie"", ""mentally disabled"", ""running"", ""based on novel"", ""vietnam"", ""vietnam war"", ""friendship"", ""love"", ""family relationships"", ""bully"", ""mother son relationship"", ""military"", ""hugging"", ""shrimping"", ""wounded soldier"", ""flashback"", ""park bench"", ""amputee""]",[]
364,8587,8587,The Lion King,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,90.457886,8.0,5376,1994-06-23,89.0,,,"[""Family"", ""Animation"", ""Drama""]","[""loss of parents"", ""wild boar"", ""uncle"", ""shaman"", ""redemption"", ""king"", ""scar"", ""hyena"", ""meerkat""]",[]
367,854,854,The Mask,"When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki, his entire life changes. While wearing the mask, Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately, under the mask's influence, Ipkiss also robs a bank, which angers junior crime lord Dorian Tyrell, whose goons get blamed for the heist.",85.30318,6.6,2472,1994-07-29,101.0,,,"[""Romance"", ""Comedy"", ""Crime"", ""Fantasy""]","[""dual identity"", ""bank"", ""mockery"", ""green"", ""balloon"", ""jail cell"", ""norse mythology""]",[]
377,1637,1637,Speed,"Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end.",49.526736,6.8,1783,1994-06-09,116.0,,,"[""Action"", ""Adventure"", ""Crime""]","[""bomb"", ""airport"", ""bus"", ""bus ride"", ""highway"", ""bomb planting""]",[]
457,5503,5503,The Fugitive,"Wrongfully accused of murdering his wife, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.",54.884297,7.2,1220,1993-08-06,130.0,,,"[""Adventure"", ""Action"", ""Thriller"", ""Crime"", ""Mystery""]","[""chicago"", ""showdown"", ""undercover"", ""surgeon"", ""death sentence"", ""doomed man"", ""lethal injection"", ""chase"", ""remake"", ""betrayal"", ""on the run"", ""train crash"", ""escape"", ""fugitive"", ""based on tv series"", ""u.s. marshal"", ""doctor"", ""explosion"", ""home invasion"", ""disguise"", ""one armed man"", ""framed for murder"", ""flashback"", ""corrupt cop"", ""manhunt"", ""bus accident"", ""storm drain""]",[]
527,424,424,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,104.469351,8.3,4329,1993-11-29,195.0,,,"[""Drama"", ""History"", ""War""]","[""factory"", ""concentration camp"", ""hero"", ""holocaust"", ""world war ii"", ""nazis"", ""defense industry"", ""biography"", ""the holocaust""]",[]
541,78,78,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",94.056131,7.9,3509,1982-06-25,117.0,,,"[""Science Fiction"", ""Drama"", ""Thriller""]","[""artificial intelligence"", ""man vs machine"", ""cyborg"", ""bounty hunter"", ""android"", ""dystopia"", ""genetics"", ""fugitive"", ""cyberpunk"", ""los angeles"", ""tech noir"", ""neo-noir""]",[]
588,812,812,Aladdin,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",92.982009,7.4,3416,1992-11-25,90.0,,,"[""Animation"", ""Family"", ""Comedy"", ""Adventure"", ""Fantasy"", ""Romance""]","[""magic"", ""musical"", ""cartoon"", ""princess"", ""love"", ""comedy"", ""animation"", ""monkey"", ""arab"", ""aftercreditsstinger"", ""genie"", ""animal sidekick""]",[]
